15,1,3,0
8,2,3,1
6,2,1,0
8,2,2,0
5,2,1,1
4,3,1,0
4,2,3,0
9,2,3,1
8,6,3,0
7,5,1,1
6,1,2,1
15,2,4,0
8,2,1,1
7,5,4,1
7,4,2,1
9,3,0,0
4,5,0,1
3,6,2,2
11,5,1,0
7,1,0,1
14,6,1,1
9,5,0,0
6,1,1,0
5,2,1,0
17,3,2,2
14,4,2,2
6,4,3,0
4,0,0,1
8,4,4,2
8,3,5,0
4,3,3,0
14,3,4,1
4,5,3,1
12,5,4,3
7,2,2,0
13,3,3,0
10,3,1,0
8,5,0,0
4,1,3,1
6,2,1,0
12,7,2,1
13,4,1,0
3,1,1,0
7,6,0,0
9,3,2,0
7,5,1,1
9,5,1,0
10,3,2,0
7,2,1,1
9,3,3,0
7,2,2,1
8,4,1,0
4,3,3,0
14,3,5,1
7,2,0,2
11,7,3,1
1,3,1,2
12,3,3,1
5,2,1,1
5,2,0,1
10,1,3,1
11,4,3,3
7,2,2,0
6,5,1,0
10,2,3,0
4,1,0,1
16,3,1,0
10,5,1,1
10,2,0,0
3,5,0,0
9,2,4,0
5,2,1,0
15,2,1,0
9,3,2,0
13,2,0,0
19,0,2,2
4,4,2,0
10,6,0,1
